Age,Date,A,B,C,D,E
24,1984-05-08,1056.3,,,1271.0,894.9
63,2009-04-26,,,614.6,588.5,595.2
20,1981-01-10,1128.2,,1413.1,1564.1,
25,1996-11-08,605.9,407.9,,978.3,784.0
48,1991-12-18,,459.8,,1060.1,
60,1981-01-14,958.6,,,,966.8
44,2009-06-15,,263.3,,598.6,
63,1982-04-14,,594.8,,,
60,2003-03-23,524.8,331.5,,,718.4
37,1981-10-03,,638.9,,,1112.4
34,2008-05-12,419.4,315.1,,,630.1
59,2002-04-28,,,,,741.1
36,1970-03-01,,,1703.9,1971.0,1265.5
41,1993-02-06,742.6,,1161.3,,
67,2005-12-25,409.0,,674.5,,
44,1998-03-30,,,,827.2,
56,1976-12-17,,,,1551.0,986.8
41,1976-12-26,1091.7,,,1662.6,1175.0
47,2005-09-24,,338.4,,641.4,609.2
36,1985-06-12,,613.0,1402.2,1393.7,
46,2011-05-25,307.4,287.1,,,
45,1999-12-27,607.3,,885.6,,
67,1988-03-04,891.5,,,,
35,1980-11-14,,631.3,,1481.1,
28,1978-11-27,1007.3,,1562.7,1418.1,1121.2
29,1981-10-19,,,1390.1,1432.6,940.5
29,1974-09-04,1306.0,,1580.8,,1231.9
63,2010-10-24,322.1,,,567.9,534.9
48,1972-03-15,1179.3,793.1,1658.7,,
40,1995-12-03,682.3,,1078.0,923.9,
65,2010-11-06,,256.1,,,
34,1982-05-12,,567.8,1259.9,,1051.7
35,1971-06-27,1267.5,,1553.4,,
63,1998-08-29,636.5,417.6,833.3,968.7,
57,1982-10-12,,,1302.4,1411.2,963.8
53,2011-08-03,335.8,,558.2,464.9,
43,1992-11-13,818.7,524.2,,997.9,
66,1978-04-13,1007.1,632.0,1534.3,1513.7,1138.9
42,2017-04-10,179.7,196.9,,,
29,2006-05-05,,340.7,,721.7,617.6
61,2001-12-23,,378.3,853.7,,
35,1994-08-30,773.0,,,1014.9,865.8
27,2017-04-14,,185.5,,327.6,
39,1975-06-09,,,1624.5,1532.2,
26,1995-02-01,,,1005.4,,795.4
38,1976-03-11,1122.7,735.5,1637.5,1465.9,
44,1970-12-04,,807.7,,1823.5,1225.5
14,2013-01-05,293.0,230.9,,,
26,2017-09-12,,180.6,,,424.5
32,2014-11-27,,,485.9,379.2,
22,1989-02-07,,487.7,1090.4,,841.8
63,2001-09-05,567.1,,758.8,,
42,1973-11-05,1281.5,731.8,1649.2,1791.5,
20,1985-02-03,,,1289.1,,952.0
34,1983-01-27,999.7,561.0,1340.5,,
43,2014-10-18,250.6,204.1,505.9,,
17,1987-05-05,,585.5,1275.6,1376.5,
44,1970-03-26,,,,1884.0,
49,1996-11-14,,465.2,872.8,,
52,2017-09-20,,,381.5,,
47,1979-09-05,1086.6,,1372.3,,1035.4
33,1992-12-27,806.8,521.1,,,810.3
47,2004-09-30,,332.2,706.3,739.9,
15,1989-09-14,800.7,,,1254.5,
50,1992-11-10,714.8,,,1083.2,887.0
30,1982-03-06,1055.2,,1392.9,,
35,1973-04-29,,643.8,,,1134.7
58,1972-09-18,,,,1621.8,1140.1
65,1985-06-25,,,1378.9,,1025.7
16,1970-06-17,,,1659.7,,1221.7
29,2013-09-01,294.8,,544.6,,534.0
21,2010-02-20,343.0,281.7,639.3,,
45,1994-10-08,,,,1072.4,
43,1982-05-10,,,1299.7,1547.8,937.5
26,2000-11-24,,,778.1,809.4,764.4
